position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
11,UCEwXRGHwGiLuiLYoQLggCcQ,SLOTS MANIA 🎰,PE_C8ITw4J8,2023-03-16T11:33:58Z,2023-03-16 11:33:58,"FORTUNE TIGER PAGANDO MUITO, ESTRATÉGIA PG SLOT #FORTUNETIGER#pgslot#pgsoft#tigre#estrategia LINK","FORTUNE TIGER PAGANDO MUITO, ESTRATÉGIA PG SLOT #FORTUNETIGER#pgslot#pgsoft#tigre#estrategia LINK LINK PLATAFORMA PAGANDO MUITO https://www.brcrown.com/register/4Nhdz6h557m LINK PLATAFORMA PAGANDO MUITO https://www.brcrown.com/register/4Nhdz6h557m",,20,Gaming,PT12S,12,2d,hd,FALSE,,,https://i.ytimg.com/vi/PE_C8ITw4J8/maxresdefault.jpg,,104,2,,0,2
12,UC2RxTVVbA_LuR6VKIuVwy5w,Sonhos sem Fronteira,3REjSxFEAZQ,2023-03-16T05:36:03Z,2023-03-16 5:36:03,fortune tiger pagou muito?,,,22,People & Blogs,PT6M4S,364,2d,hd,FALSE,,,https://i.ytimg.com/vi/3REjSxFEAZQ/maxresdefault.jpg,,247,4,,0,0
13,UCv6gfGcEOhJHKBPqeRTVMog,KJ Empreendedor Digital,aU_bAmcW4IQ,2023-03-16T01:33:59Z,2023-03-16 1:33:59,"Horários que possibilitam a liberação da ""Carta Bônus"" no Fortune Tiger",Este é um dos jogos mais comentados do momento. Desenvolvemos uma estratégia altamente lucrativa para que você tenha ganhos diários nesse slot. Não perca essa oportunidade! Link de suporte / inscrição: https://wa.me/5511984289448,"Fortune Tiger,Slote,Bet,tigre,subindo a banca,forrar banca",22,People & Blogs,PT35S,35,2d,hd,FALSE,,pt,https://i.ytimg.com/vi/aU_bAmcW4IQ/maxresdefault.jpg,,68,3,,0,0
14,UC3j9hkRdsTL8lvniuMSTymg,Flavia Prestes,kaR4WThhHC8,2023-03-15T17:26:41Z,2023-03-15 17:26:41,Será que lucrei no Fortune Tiger? #brabet,https://www.brabet.com/?agentid=82452293,"Brabet,Slot pagando,Jogo de slot,Slot fortune tiger,Tiger,Fortune,Allwin,Jogos,Ganhe dinheiro,Como ganhar dinheiro,Brabet,Slot pagando,Jogo de slot,Slot fortune tiger,Tiger,Fortune,Allwin,Jogos,Ganhe dinheiro,Como ganhar dinheiro",22,People & Blogs,PT24S,24,2d,hd,FALSE,,,https://i.ytimg.com/vi/kaR4WThhHC8/maxresdefault.jpg,,56128,,,0,58
15,UCfLgD69U9kcDL99CLDm5c8g,Juan MDM,DRMmp01yMWM,2023-03-15T15:00:09Z,2023-03-15 15:00:09,⚠ NÃO JOGUE NO FORTUNE TIGER ANTES DE VER ESSE VÍDEO (Dicas Essenciais PARA VOCÊ GANHAR DINHEIRO 🐯),"📨 Contato comercial: comercialjuanmdm@dinheirocomvideosgdv.com 🔥⚠ NÃO JOGUE NO FORTUNE TIGER ANTES DE VER ESSE VÍDEO (Dicas Essenciais PARA VOCÊ GANHAR DINHEIRO 🐯) Vídeo todos os dias as: 12:00, 16:00 e as 19:00. #slots #ganhardinheiro #estratégias ---------------------------------------------------------------------------------------------------------------------------------------- 💣 Compartilhe o vídeo: https://youtu.be/DRMmp01yMWM ---------------------------------------------------------------------------------------------------------------------------------------- •ATENÇÃO⚠️ ISSO É APOSTA E NÃO É RECOMENDÁVEL, POIS A CHANCE DE PERDER É ALTA, NÃO NOS RESPONSABILIZAMOS POR PERDAS, ESSES MÉTODOS USADOS NOS VIDEOS SÃO ESTRATÉGIAS QUE FUNCIONAM CONOSCO. 🔞Este vídeo possui apenas meios de entretenimento. Não concordo e nem recomendo usar isso como fonte de renda, aposte apenas se for maior de 18 anos e estiver ciente de possíveis percas.","fortune tiger,slot fortune tiger,dicas fortune tiger,como jogar fortune tiger,estratégia fortune tiger,fortune tiger estrategia,fortune tiger estrategia banca baixa,pg fortune tiger,robo fortune tiger,fortune tiger slot,fortune tiger pg soft,fortune tiger como jogar,fortune tiger como ganhar,fortune tiger banca baixa,estrategia para ganhar no fortune tiger,fortune tiger pg,jogar fortune tiger,fortune tiger dicas,fortune tiger max win,furtune tiger",22,People & Blogs,PT7M52S,472,2d,hd,FALSE,,,https://i.ytimg.com/vi/DRMmp01yMWM/maxresdefault.jpg,1,15330,547,,0,150
16,UCXgPSwyKw3DVfVkURf-iZwQ,Vida De Slot,9DCIncm3DKo,2023-03-14T22:53:13Z,2023-03-14 22:53:13,FORRANDO No SLOT FORTUNE TIGER!!!,,,22,People & Blogs,PT9M1S,541,2d,hd,FALSE,,,https://i.ytimg.com/vi/9DCIncm3DKo/maxresdefault.jpg,1,5698,517,,0,55
17,UCys-xOTHlY_fkBp7Z5w8p1A,Tyzzer,HUmJneCtQCI,2023-03-14T22:22:28Z,2023-03-14 22:22:28,COMO JOGAR COM BANCA BAIXA NO SLOT FORTUNE TIGER!!! DOBRE SUA BANCA,"Puro Entretenimento Exclusivo!!! Gostou? Já deixa o like e se inscreve no canal, lembrando que aposta é para maiores de 18 anos 🔞 Tamo junto 🫶🏼⚡ #fortunetiger #slotonline #estrategia",,22,People & Blogs,PT6M12S,372,2d,hd,FALSE,,,https://i.ytimg.com/vi/HUmJneCtQCI/maxresdefault.jpg,1,14964,364,,0,84
18,UC2XYPsthcJE8MIyd333KdSA,Cristian Fitipalldi,5eGlD5rYiMs,2023-03-14T21:58:19Z,2023-03-14 21:58:19,#fortune tiger venha lucrar com o robozinjo do momento...!,,,22,People & Blogs,PT15S,15,2d,hd,FALSE,,,https://i.ytimg.com/vi/5eGlD5rYiMs/maxresdefault.jpg,,58,2,,0,1
19,UCUN6N_cVZXb2LYtN_WCck_w,RN Slots,ZnksPaOBkII,2023-03-14T20:44:33Z,2023-03-14 20:44:33,FORTUNE TIGER ME FAZENDO FELIZ TODOS OS DIAS 🤣🔥,VÍDEO DE ENTRETENIMENTO ❗❗❗ A PLATAFORMA É SOMENTE PARA MAIORES DE 18 ANOS ❗❗❗ LINKS: https://keepo.io/RNSLOTS,"fortunetiger,Tiger,FORTUNE,fortunemouse,fortuneox,Slots,cassinoonline,renda extra,renda,lucro,viral,foryou",22,People & Blogs,PT16S,16,2d,hd,FALSE,,,https://i.ytimg.com/vi/ZnksPaOBkII/maxresdefault.jpg,1,5052,284,,0,12
20,UCrnN_Y-uLiJ3NdCYoWiAzUQ,Ravanha Fun 🅥,maWizsa1Jqc,2023-03-14T20:31:00Z,2023-03-14 20:31:00,MELHOR ESTRATÉGIA PARA GANHAR NO FORTUNE TIGER,O objetivo desses videos são apenas fins de entretenimento. Lembre-se que isso acaba em perdas. Esse Jogos são para maiores de 18 anos ou idade legal em sua jurisdição. 🔞,"fortune tiger,fortune,tiger,tigrinho,slot,slots,slots do tigrinho,jogo do tigrinho,como jogar o jogo do tigrinho,como lucrar no fortune tiger,como lucrar no jogo do tigre,estrategia,estrategia jogo do tigre,estrategia fortune tiger,fortune tiger como jogar,tigrinho slots,lucrando no tigrinho,lucrando no slots,lucrando no slot,como lucrar no slots,estrategia slots,como ganhar no slots,slots do tigre,ravanha,ravanha fun,ravanha invest",22,People & Blogs,PT3M51S,231,2d,hd,FALSE,,,https://i.ytimg.com/vi/maWizsa1Jqc/maxresdefault.jpg,,921,26,,0,3
21,UCwLxS2SfD_DpHMaxZmi7fUw,bruno Lorusso,3bbN1Cv7OOM,2023-03-14T19:25:26Z,2023-03-14 19:25:26,fortune tiger essa estratégia não tem erro!!!,plataforma https://www.lobo888.co/?code=cfmlhm deixa seu like 👍🙅‍♂️,,22,People & Blogs,PT8M,480,2d,sd,FALSE,,,,1,1378,7,,0,5
22,UC-vmj8ja45yzEVoX28BRH4g,vieiraslots,fWMuIUG_qEE,2023-03-14T18:37:17Z,2023-03-14 18:37:17,Jogando com banca de 20R$ no FORTUNE TIGER - joguinho do tigre,,,22,People & Blogs,PT43S,43,2d,hd,FALSE,,,https://i.ytimg.com/vi/fWMuIUG_qEE/maxresdefault.jpg,,525,21,,0,1
